Ticker,AdjClose,SMA200,DeltaToSMA200,PctBelow,WeeklyMean,Return_5d,Return_21d,Return_63d,Vol_20d,52wHigh,52wLow,PctFrom52wHigh,PctFrom52wLow,SMA200_Slope_20d,Name,Universe
MCHI,57.61000061035156,60.49946281433105,-2.889462203979491,-4.776012991796408,57.177999877929686,-0.003459622179352806,0.02875001089913498,-0.07676283330763711,0.1783654897226023,66.18109893798828,50.4682731628418,-12.95097613242694,14.150924927560226,0.5283494880341078,MSCI China,INDICES
^HSI,25776.529296875,25914.982880859374,-138.45358398437384,-0.5342607580367531,25873.44970703125,-0.005350910896130379,0.03304955013802746,-0.03637376824005756,0.1925983142212068,27968.08984375,21909.759765625,-7.835932160968606,17.64861674712066,0.7175891964543712,Hang Seng Index,INDICES
^STOXX50E,5881.509765625,5681.61419921875,199.8955664062496,3.518288278597592,5855.18388671875,-0.00033487236300466794,0.0559775404282723,-0.011147009120265228,0.22272198247999062,6173.31982421875,5160.22021484375,-4.726955137638267,13.977883128057368,1.0260655098885074,EURO STOXX 50,INDICES
^DJI,49551.48828125,47208.4340234375,2343.0542578125023,4.963211142842083,49275.03125,0.006515797510160626,0.06411903064795244,0.013478957968347638,0.14072065596535824,50188.140625,40752.9609375,-1.2685314415351479,21.589909398837783,1.0519438511595647,Dow Jones Industrial Average,INDICES
