Ticker,AdjClose,SMA200,DeltaToSMA200,PctBelow,WeeklyMean,Return_5d,Return_21d,Return_63d,Vol_20d,52wHigh,52wLow,PctFrom52wHigh,PctFrom52wLow,SMA200_Slope_20d,Name,Universe
TEAM,68.29000091552734,147.75529991149904,-79.4652989959717,-53.78169110926581,68.19750022888184,0.002348505336265072,-0.11092301671494009,-0.5788207649402075,0.47510084708593875,229.8300018310547,65.12000274658203,-70.28673351109029,4.867933100803956,-8.42834917199804,Atlassian Corporation,NASDAQ100
MSTR,119.83000183105469,254.31470027923584,-134.48469844818115,-52.88121304058233,122.2125015258789,-0.0985480445837208,-0.18171264795627673,-0.2113852962308932,0.5138426366847976,455.8999938964844,106.98999786376953,-73.71572637961846,12.001125547861346,-8.908994863129738,Strategy Inc,NASDAQ100
ZS,138.55999755859375,250.97252517700196,-112.4125276184082,-44.79077043956412,138.19499588012695,-0.020777402412765045,-0.11298897891735771,-0.38395874672506236,0.44267503696697075,336.2699890136719,133.16000366210938,-58.79501528964565,4.055267158287812,-4.960596461637179,"Zscaler, Inc.",NASDAQ100
CSGP,39.95000076293945,70.84260007858276,-30.89259931564331,-43.607376467514506,40.20000076293945,-0.032687614989340585,-0.16071424278176705,-0.40585957715407006,0.3090684294771523,96.83000183105469,39.630001068115234,-58.74212536663719,0.8074682972483593,-4.592624453872441,"CoStar Group, Inc.",NASDAQ100
TRI,90.19000244140625,144.28893718719482,-54.09893474578857,-37.493473720443816,89.82750129699707,-0.00210217766967824,-0.13957257485224328,-0.3109785453813806,0.3865085530583506,210.94461059570312,80.86000061035156,-57.24469936126285,11.538463715841573,-6.314300885424762,Thomson Reuters Corporation,NASDAQ100
WDAY,132.25999450683594,207.12384979248046,-74.86385528564452,-36.14448812179351,130.0,0.03352342928194618,-0.07536352967895421,-0.3842071177086497,0.3906504165876475,274.7099914550781,124.18000030517578,-51.85468362243253,6.5066791607371055,-5.391579367049615,"Workday, Inc.",NASDAQ100
AXON,412.80999755859375,639.7561492919922,-226.94615173339844,-35.47385233960723,419.0350036621094,-0.08358121611392655,-0.2755304411517554,-0.2731322471390274,0.48165708741809715,870.969970703125,399.6499938964844,-52.60341786234759,3.292882237730743,-4.144757281420464,"Axon Enterprise, Inc.",NASDAQ100
INTU,422.4800109863281,624.8403858947754,-202.36037490844728,-32.38593078753479,427.44000244140625,-0.02328049263859977,-0.040123604022268555,-0.36104265089604237,0.39327578144908626,804.435546875,358.7099914550781,-47.48118570499016,17.777597794968592,-4.491357991802925,Intuit Inc.,NASDAQ100
DASH,156.4499969482422,223.65944969177247,-67.20945274353028,-30.0499052627342,151.27749633789062,0.029547183706232882,-0.11983124079751228,-0.3092105267590374,0.3979770272047136,281.739990234375,146.60000610351562,-44.47007795446648,6.718956640268758,-2.2387324179249046,"DoorDash, Inc.",NASDAQ100
PYPL,45.34000015258789,61.49028120040894,-16.150281047821046,-26.26477019219362,44.96749973297119,0.0030973315771096743,-0.030160424543574482,-0.22101275474641746,0.33093010752093455,77.80402374267578,38.9620361328125,-41.725378750920896,16.369688683708404,-4.173266744913673,"PayPal Holdings, Inc.",NASDAQ100
ADBE,242.9199981689453,327.763899307251,-84.84390113830568,-25.88567603620424,242.125,0.008468919149703824,-0.1105740974229451,-0.3059230122373756,0.36507482585607237,420.67999267578125,234.83999633789062,-42.25539545538498,3.4406412693982036,-4.646188347530245,Adobe Inc.,NASDAQ100
APP,386.3699951171875,515.9081254577636,-129.53813034057612,-25.10875947643534,386.07249450683594,-0.012371862793914334,-0.19974731867415874,-0.426597621148878,0.6210667891677394,733.5999755859375,219.3699951171875,-47.33233260966402,76.12709291021709,1.067841643475953,AppLovin Corporation,NASDAQ100
ADP,204.00999450683594,263.5713298034668,-59.56133529663089,-22.597805057569452,203.4849967956543,-0.002444868287272306,-0.052792342877578835,-0.20034360705468046,0.2392396555343182,318.7931213378906,201.25,-36.00552180967399,1.3714258419060599,-3.8105182068642884,"Automatic Data Processing, Inc.",NASDAQ100
PAYX,91.69999694824219,117.7886516571045,-26.088654708862308,-22.148699676781426,91.9625015258789,-0.020194459489291106,-0.04269760860417926,-0.17406356767674291,0.29683845208984366,155.4427490234375,87.38999938964844,-41.00722129250573,4.931911647437626,-4.800091131680839,"Paychex, Inc.",NASDAQ100
ROP,357.8800048828125,459.28521896362304,-101.40521408081054,-22.07891956759056,354.89249420166016,0.019397833527557973,-0.009383519899105353,-0.19436319996108875,0.19420125688360665,586.483154296875,315.5299987792969,-38.97863864276393,13.421863615934049,-4.458001236357512,"Roper Technologies, Inc.",NASDAQ100
VRSK,185.0800018310547,236.5880076599121,-51.50800582885742,-21.771182038482095,186.42250061035156,-0.0036069887964754743,-0.1393057808218381,-0.17051070333212603,0.3301166091160847,318.8477783203125,169.04212951660156,-41.953491786565166,9.487500163607464,-4.654323395139026,"Verisk Analytics, Inc.",NASDAQ100
MSFT,373.4599914550781,475.2619941711426,-101.80200271606446,-21.420185911058866,367.98999786376953,0.02046613167579836,-0.07833173690956363,-0.22601961448525132,0.21717439883108317,539.8251953125,351.8662414550781,-30.818347365412347,6.136920072440888,-1.5783182606784352,Microsoft Corporation,NASDAQ100
CPRT,33.400001525878906,42.31065010070801,-8.910648574829104,-21.060060655224955,33.0575008392334,0.011202021200616752,-0.11966255311443297,-0.1468710032156484,0.2725226726056864,63.84000015258789,32.43000030517578,-47.681701995539605,2.991061398628214,-4.298256267345513,"Copart, Inc.",NASDAQ100
MELI,1715.52001953125,2158.084802856445,-442.5647833251951,-20.507293445531683,1695.677490234375,0.05182743597631023,-0.030248220142929605,-0.14831252608204026,0.4024445857420792,2613.6298828125,1599.52001953125,-34.36254954028928,7.252175564141705,-3.6927428311282817,"MercadoLibre, Inc.",NASDAQ100
QCOM,126.80000305175781,156.75256763458253,-29.95256458282472,-19.108181151232785,127.48250007629395,-0.028650148818203602,-0.08526902670453296,-0.2539367570927257,0.20239069569407797,185.53468322753906,121.8060073852539,-31.65698140856459,4.0999584287404245,-1.1146640934206031,QUALCOMM Incorporated,NASDAQ100
ALNY,318.8500061035156,393.2409999084473,-74.39099380493167,-18.917405311819234,323.63500213623047,-0.028370299410953814,-0.0258172380220133,-0.19816418710541173,0.36828039318959227,491.2200012207031,224.32000732421875,-35.09018254322718,42.140689948653964,0.5110527467123926,"Alnylam Pharmaceuticals, Inc.",NASDAQ100
SNPS,395.95001220703125,486.72940170288086,-90.77938949584961,-18.65089496920611,393.07750701904297,-0.014927229301611722,-0.08127986887171001,-0.15705098531456874,0.3542631667446789,645.3499755859375,380.4700012207031,-38.64569192126592,4.068654805020611,-1.4572791295259901,"Synopsys, Inc.",NASDAQ100
BKNG,4194.31005859375,5104.276811523438,-909.9667529296876,-17.827535349872537,4176.6749267578125,-0.004615760772580524,-0.011684629035435101,-0.21501042744910714,0.2906138064646448,5781.64794921875,3862.019775390625,-27.454765571457706,8.604054420449337,-2.150241245343909,Booking Holdings Inc.,NASDAQ100
ADSK,238.0800018310547,286.955299911499,-48.87529808044434,-17.032373368088393,237.75749588012695,-0.007296835202598051,-0.07681574195258523,-0.19570286822542982,0.2664470048377513,326.7900085449219,218.63999938964844,-27.145874841419072,8.89132935221122,-1.746665107022305,"Autodesk, Inc.",NASDAQ100
CEG,272.82000732421875,328.5021382904053,-55.68213096618655,-16.950310051547348,282.53499603271484,-0.07578168275406905,-0.15383117695036375,-0.2266945456058449,0.5648683343963762,402.947021484375,170.09779357910156,-32.29382703482824,60.39009183111344,0.055658570372507654,Constellation Energy Corporation,NASDAQ100
SHOP,118.25,141.01819980621337,-22.768199806213374,-16.145575420407678,116.78999900817871,0.024430388004579973,-0.0879289967848853,-0.26539107222923164,0.46482926152437676,179.00999450683594,76.88999938964844,-33.94223583673461,53.791131406771456,1.0783886967681955,Shopify Inc.,NASDAQ100
META,574.4600219726562,683.973963317871,-109.51394134521479,-16.01141961807676,565.5500030517578,0.049165440014625084,-0.13894553602051607,-0.12897959153454996,0.47515786690750184,788.1489868164062,483.15264892578125,-27.11276274133273,18.898245357835354,-0.9039965895932256,"Meta Platforms, Inc.",NASDAQ100
TTWO,199.8699951171875,234.6688498687744,-34.7988547515869,-14.828919462913904,197.1624984741211,0.026448201849830433,-0.07368961783583183,-0.21934931035374672,0.2639892924981303,262.2900085449219,189.69000244140625,-23.798090432043207,5.366646921165907,-1.1986568672367026,"Take-Two Interactive Software, Inc.",NASDAQ100
CRWD,399.1199951171875,463.9110498046875,-64.79105468749998,-13.966266747640056,390.7249984741211,0.016555448221784896,-0.020996854671260112,-0.14856219216152156,0.41724344949820186,557.530029296875,321.6300048828125,-28.412825472282666,24.0928983794932,-1.098718366174356,"CrowdStrike Holdings, Inc.",NASDAQ100
CTSH,62.540000915527344,72.46369443893433,-9.923693523406982,-13.69471098629914,61.55000019073486,0.029295632705166108,-0.039619191066298076,-0.2426717475230964,0.2604398295053402,86.26104736328125,59.72999954223633,-27.499140310521252,4.704505934750602,-2.3647911985339554,Cognizant Technology Solutions Corporation,NASDAQ100
CHTR,219.7899932861328,254.62085014343262,-34.83085685729981,-13.679499081744073,218.22000122070312,0.005857850036497192,-0.05262933928391034,0.05288619538267225,0.36368318783096987,427.25,182.80999755859375,-48.55705247837734,20.228650632570755,-6.6693508992611505,"Charter Communications, Inc.",NASDAQ100
DDOG,120.36000061035156,139.34060062408446,-18.980600013732897,-13.62172972466158,118.22249984741211,-0.03169752489680677,0.01715540224697376,-0.11493495294842226,0.48979078182093594,199.72000122070312,87.0,-39.73562994457114,38.34482828776042,0.41404217926319653,"Datadog, Inc.",NASDAQ100
CDNS,278.7200012207031,321.7707000732422,-43.050698852539085,-13.379309813708884,276.91500091552734,-0.006770700340476221,-0.08745045377200789,-0.10832422677750153,0.2528606819306093,373.3699951171875,231.63999938964844,-25.35018751755269,20.32464252940185,-0.5332834537952302,"Cadence Design Systems, Inc.",NASDAQ100
DXCM,62.220001220703125,71.6419500541687,-9.421948833465578,-13.151441057008661,62.322500228881836,-0.058556443208164666,-0.14650205873294075,-0.06252827111857584,0.3119541063093497,89.52999877929688,54.84000015258789,-30.503739451528933,13.4573323260047,-2.650804720112787,"DexCom, Inc.",NASDAQ100
PANW,163.2100067138672,187.76300048828125,-24.552993774414062,-13.076587885027157,159.63750457763672,0.04380919721652998,0.029326496133144087,-0.11395217471297203,0.4147102711085615,221.3800048828125,141.6699981689453,-26.276084960670953,15.204354361065796,-1.5918737418668893,"Palo Alto Networks, Inc.",NASDAQ100
