Ticker,Name
^IBEX,IBEX 35
^NDX,Nasdaq 100
^GSPC,S&P 500
^DJI,Dow Jones Industrial Average
^IXIC,Nasdaq Composite
^FTSE,FTSE 100
^N225,Nikkei 225
^STOXX50E,EURO STOXX 50
^HSI,Hang Seng Index
MCHI,MSCI China
^MERV,MERVAL
